"uuid","page_condition","page_id","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q15","q16","age","device","dyslexia","education","gender","language","retake","dyslexia_bin"
"023c99b1-f32a-4d79-b5d7-197ac75591e2",0,"1-1",7,1,NA,5,4,1,6,6,6,7,7,6,2,2,2,5,58,"desktop",0,"professional school",0,"English",0,0
"023c99b1-f32a-4d79-b5d7-197ac75591e2",1,"1-2",6,1,4,1,5,1,7,6,6,7,7,7,3,1,1,6,58,"desktop",0,"professional school",0,"English",0,0
"025562fd-3b78-416d-b71d-1bab3f5fe6b6",1,"3-2",7,2,6,2,7,1,6,6,6,6,6,NA,3,3,3,6,23,"laptop",0,"high school",0,"German",0,0
"025562fd-3b78-416d-b71d-1bab3f5fe6b6",0,"3-1",7,4,4,3,6,3,6,5,5,3,3,5,3,3,3,4,23,"laptop",0,"high school",0,"German",0,0
"026078fb-bbd3-403e-9003-57ef39309521",0,"3-1",2,6,6,6,3,7,2,2,1,1,2,3,1,2,1,1,24,"smartphone",1,"college",1,"English",0,1
"026078fb-bbd3-403e-9003-57ef39309521",1,"3-2",5,4,6,3,5,1,5,3,3,6,6,3,2,6,2,5,24,"smartphone",1,"college",1,"English",0,1
"028c35ca-c434-4a6c-9706-5752290c6d4a",1,"1-1",6,2,2,4,5,2,6,4,4,5,5,5,3,2,2,2,35,"laptop",0,"professional school",0,"English",0,0
"028c35ca-c434-4a6c-9706-5752290c6d4a",0,"1-2",5,3,3,3,5,5,5,5,5,5,5,3,5,3,3,5,35,"laptop",0,"professional school",0,"English",0,0
"036b67f1-2e0e-4bc3-9616-c53f4bdeebf6",0,"1-1",6,2,5,4,6,1,7,7,7,7,7,7,2,2,1,5,24,"laptop",0,"college",0,"English",0,0
"036b67f1-2e0e-4bc3-9616-c53f4bdeebf6",1,"1-2",6,5,5,4,6,1,5,5,3,5,7,6,1,1,1,1,24,"laptop",0,"college",0,"English",0,0
"03f385b7-6b1b-4549-95f3-1d999b1df64a",0,"1-2",4,4,3,4,3,2,5,3,3,4,4,3,2,2,4,2,13,"laptop",0,"high school",1,"English",0,0
"03f385b7-6b1b-4549-95f3-1d999b1df64a",1,"1-1",4,6,4,6,4,3,2,3,5,4,4,3,2,3,3,3,13,"laptop",0,"high school",1,"English",0,0
"041129bf-1228-43d2-af14-173e38b15972",1,"1-2",3,7,4,7,4,6,4,4,4,4,4,4,4,4,4,4,29,"smartphone",1,"professional school",1,"English",0,1
"041129bf-1228-43d2-af14-173e38b15972",0,"1-1",3,4,4,7,4,6,4,4,4,4,4,4,4,1,2,2,29,"smartphone",1,"professional school",1,"English",0,1
"05407942-f651-4129-adc8-541378ce6ac3",0,"2-1",6,2,3,2,5,3,5,5,5,5,5,5,3,2,2,2,30,"laptop",0,"college",0,"English",0,0
"05407942-f651-4129-adc8-541378ce6ac3",1,"2-2",4,3,5,5,3,1,5,3,3,5,5,5,2,1,1,2,30,"laptop",0,"college",0,"English",0,0
"05a92b52-f72a-42f9-936c-9258bf385bf3",1,"1-2",6,2,2,6,6,2,4,2,5,5,5,4,3,2,1,3,52,"laptop",1,"graduate school",1,"English",0,1
"05a92b52-f72a-42f9-936c-9258bf385bf3",0,"1-1",6,2,4,5,5,1,5,4,6,6,6,4,2,1,1,3,52,"laptop",1,"graduate school",1,"English",0,1
"0662696f-dad0-4850-8d7a-6a843036c294",1,"3-1",7,1,2,2,6,2,7,4,5,6,6,5,3,3,1,4,22,"desktop",0,"college",0,"English",0,0
"0662696f-dad0-4850-8d7a-6a843036c294",0,"3-2",6,5,3,5,4,6,2,2,2,2,1,2,1,1,1,1,22,"desktop",0,"college",0,"English",0,0
"06d98056-2cc4-4216-85e9-e3fe7d5751fe",1,"1-1",5,5,4,2,4,3,3,3,3,4,4,3,3,3,3,3,18,"laptop",0,"college",0,"English",0,0
"06d98056-2cc4-4216-85e9-e3fe7d5751fe",0,"1-2",5,5,5,2,5,1,6,6,6,6,6,6,4,6,6,6,18,"laptop",0,"college",0,"English",0,0
"087aef1b-10d8-4753-a39d-25591695d5fa",0,"2-2",7,1,2,4,7,1,7,7,7,7,7,4,5,3,2,7,27,"laptop",0,"PhD",0,"English",0,0
"087aef1b-10d8-4753-a39d-25591695d5fa",1,"2-1",7,1,2,1,7,1,7,7,7,7,7,3,3,3,3,5,27,"laptop",0,"PhD",0,"English",0,0
"089fc400-90dc-483c-907e-f7143fe77183",0,"1-2",6,4,5,3,5,5,5,4,5,4,4,4,4,3,2,4,22,"smartphone",1,"high school",1,"English",0,1
"089fc400-90dc-483c-907e-f7143fe77183",1,"1-1",4,2,3,5,4,1,4,5,4,4,5,3,1,2,2,3,22,"smartphone",1,"high school",1,"English",0,1
"08aad1ce-a5a5-4558-819a-80e470e455fa",0,"1-1",4,4,1,3,5,1,6,5,5,5,5,5,2,2,3,3,51,"other",0,"college",1,NA,0,0
"08aad1ce-a5a5-4558-819a-80e470e455fa",1,"1-2",4,2,1,3,2,1,2,2,2,3,3,3,3,3,3,3,51,"other",0,"college",1,NA,0,0
"08e0c3b1-652b-4be1-b8fb-e30789efca15",0,"2-2",7,2,4,2,6,1,6,6,6,6,6,1,6,4,4,5,37,"laptop",0,"graduate school",1,"English",0,0
"08e0c3b1-652b-4be1-b8fb-e30789efca15",1,"2-1",6,6,5,2,5,1,5,2,3,5,7,3,3,2,2,3,37,"laptop",0,"graduate school",1,"English",0,0
"0939d037-9073-4b45-beef-4b1a9cb29fc6",0,"3-2",5,6,5,2,4,6,4,5,4,4,4,4,5,5,3,3,26,"desktop",0,"college",1,"English",0,0
"0939d037-9073-4b45-beef-4b1a9cb29fc6",1,"3-1",6,2,6,2,5,1,6,4,5,5,5,5,4,2,3,2,26,"desktop",0,"college",1,"English",0,0
"0b57c990-e104-4b79-817f-d61cc0e13bba",1,"2-1",4,6,2,5,6,2,5,4,2,7,7,4,2,2,1,1,28,"laptop",0,"high school",1,"English",0,0
"0befef59-998c-41d5-a028-cda46345a259",0,"2-2",7,3,4,7,3,5,3,4,4,3,4,3,3,3,1,4,18,"smartphone",2,"high school",0,"Other",0,1
"0befef59-998c-41d5-a028-cda46345a259",1,"2-1",5,7,4,5,3,7,4,2,3,3,3,3,1,1,1,3,18,"smartphone",2,"high school",0,"Other",0,1
"0c06a58b-c629-43ce-8f6c-2a140dd88b66",1,"1-1",6,4,5,3,5,2,6,3,3,5,5,5,1,1,1,1,21,"laptop",0,"college",0,"English",0,0
"0c06a58b-c629-43ce-8f6c-2a140dd88b66",0,"1-2",5,4,3,4,6,2,6,5,5,5,5,5,4,2,2,5,21,"laptop",0,"college",0,"English",0,0
"0d304788-a11c-471d-900e-323afd0cc99d",0,"3-2",7,1,7,1,7,6,6,4,4,2,2,2,2,4,4,2,23,"desktop",0,"college",0,"Other",0,0
"0d304788-a11c-471d-900e-323afd0cc99d",1,"3-1",7,1,6,1,7,1,7,7,7,7,7,7,7,7,7,7,23,"desktop",0,"college",0,"Other",0,0
"0d84e944-f2f1-4a68-8fc5-719111349ddd",0,"2-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"0d84e944-f2f1-4a68-8fc5-719111349ddd",1,"2-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"0e27148e-216f-4fe9-9572-c1317d616ac9",1,"1-2",5,3,5,4,4,1,4,4,4,5,5,5,3,3,3,3,36,"desktop",1,"college",0,"French",0,1
"0e27148e-216f-4fe9-9572-c1317d616ac9",0,"1-1",3,5,5,4,3,1,4,4,4,4,4,5,4,4,4,4,36,"desktop",1,"college",0,"French",0,1
"0e77b20c-c1e1-467c-a359-0a2942538fcb",1,"1-1",4,5,3,6,4,1,4,4,6,4,5,5,3,1,2,3,18,"smartphone",1,"high school",1,"English",0,1
"0e77b20c-c1e1-467c-a359-0a2942538fcb",0,"1-2",5,3,3,3,1,5,4,6,5,5,5,4,2,2,2,5,18,"smartphone",1,"high school",1,"English",0,1
"0ea68c5a-057a-46c5-afda-4dbf75e4c5c4",1,"2-1",3,1,2,2,5,6,7,3,7,7,7,2,2,4,2,1,29,"laptop",0,"graduate school",0,"Other",0,0
"0ea68c5a-057a-46c5-afda-4dbf75e4c5c4",0,"2-2",6,1,6,2,7,1,7,7,7,7,7,7,5,4,3,5,29,"laptop",0,"graduate school",0,"Other",0,0
"0ee8e6e8-930f-441a-8244-d7788041cf5b",1,"3-2",5,4,2,1,4,1,6,2,1,1,5,7,2,2,1,1,27,"desktop",0,"graduate school",0,"English",0,0
"0ee8e6e8-930f-441a-8244-d7788041cf5b",0,"3-1",2,1,2,1,4,7,3,2,2,1,1,1,1,1,1,1,27,"desktop",0,"graduate school",0,"English",0,0
"0fd5e38b-fd91-40c0-b154-d407eba53e1f",0,"1-2",6,3,5,3,4,2,6,6,6,6,7,7,3,3,3,6,41,"desktop",0,"graduate school",1,"English",0,0
"0fd5e38b-fd91-40c0-b154-d407eba53e1f",1,"1-1",5,2,6,3,6,1,6,5,5,6,6,6,3,4,4,4,41,"desktop",0,"graduate school",1,"English",0,0
"100567eb-57a5-424e-86c1-4a02cc690c8d",0,"3-2",5,6,4,5,4,7,3,2,2,3,1,NA,2,2,1,2,43,"laptop",0,"college",1,"English",0,0
"100567eb-57a5-424e-86c1-4a02cc690c8d",1,"3-1",6,4,5,3,6,1,5,5,4,6,6,5,3,3,3,3,43,"laptop",0,"college",1,"English",0,0
"10497147-ea3a-43a2-8c1d-61e871fbe21a",1,"2-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,0,NA,0,"English",1,0
"10497147-ea3a-43a2-8c1d-61e871fbe21a",0,"2-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,0,NA,0,"English",1,0
"11c42b9a-eb16-4b29-a925-53dc38b0caa2",0,"1-1",4,2,3,6,4,2,5,6,6,6,6,4,4,4,4,4,24,"desktop",0,"high school",0,"Russian",0,0
"11c943dd-a2f9-4e88-814c-7812318b5999",0,"3-2",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,30,"laptop",0,"professional school",0,"English",0,0
"11c943dd-a2f9-4e88-814c-7812318b5999",1,"3-1",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,30,"laptop",0,"professional school",0,"English",0,0
"11db0111-539a-45d2-8e6f-8e0a3bb6cf36",0,"3-2",7,3,3,2,6,2,6,3,4,5,5,2,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA
"11db0111-539a-45d2-8e6f-8e0a3bb6cf36",1,"3-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123cbcaa-5ea4-4b59-85fb-394a9549a516",0,"1-2",4,4,2,6,2,6,2,1,2,1,1,1,1,1,1,1,47,"desktop",2,"PhD",1,"Romanian",0,1
"123cbcaa-5ea4-4b59-85fb-394a9549a516",1,"1-1",4,4,4,4,4,1,6,6,6,6,7,7,5,4,4,1,47,"desktop",2,"PhD",1,"Romanian",0,1
"134bf53e-1ea2-4b61-b39f-a1e444535f80",1,"3-2",7,2,7,4,6,1,7,7,7,7,7,5,6,5,5,6,62,"laptop",1,"graduate school",1,"English",0,1
"134bf53e-1ea2-4b61-b39f-a1e444535f80",0,"3-1",2,7,2,7,2,7,1,2,2,2,1,1,2,1,2,1,62,"laptop",1,"graduate school",1,"English",0,1
"1449638f-1f3e-4c84-a744-760f56709015",0,"1-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,"tablet",0,"high school",1,"English",0,0
"1449638f-1f3e-4c84-a744-760f56709015",1,"1-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,"tablet",0,"high school",1,"English",0,0
"14bf8206-4d05-43c0-84e6-984bbe11a47f",0,"1-1",4,4,2,5,3,3,3,3,3,3,3,2,3,2,2,2,59,"laptop",0,"graduate school",1,"English",0,0
"14bf8206-4d05-43c0-84e6-984bbe11a47f",1,"1-2",2,4,4,5,3,1,4,4,4,4,4,4,3,2,2,2,59,"laptop",0,"graduate school",1,"English",0,0
"14d4cd1a-7cba-4495-91d7-47fd9d0990e6",1,"3-2",4,5,4,6,4,5,4,1,2,3,3,2,1,1,1,1,24,"laptop",0,"college",0,NA,0,0
"14d4cd1a-7cba-4495-91d7-47fd9d0990e6",0,"3-1",3,6,4,5,3,6,3,2,2,2,1,2,1,1,1,1,24,"laptop",0,"college",0,NA,0,0
"154c0760-9c47-435f-8335-5f1178d12e46",1,"1-2",5,4,4,3,5,2,5,5,5,4,5,5,3,3,3,3,20,"laptop",0,"college",0,"English",0,0
"154c0760-9c47-435f-8335-5f1178d12e46",0,"1-1",4,5,2,3,4,2,4,4,4,4,3,5,3,3,3,3,20,"laptop",0,"college",0,"English",0,0
"1566f86d-93ed-408b-a7b8-90d409419736",1,"1-1",5,1,2,2,5,2,6,6,6,6,6,2,2,2,2,5,27,"desktop",0,"high school",0,NA,0,0
"1566f86d-93ed-408b-a7b8-90d409419736",0,"1-2",5,2,2,2,5,1,6,5,5,4,4,2,2,2,4,5,27,"desktop",0,"high school",0,NA,0,0
"15a5a588-84f1-47b6-8ff7-3b5dd3065df8",1,"2-2",6,2,6,3,6,1,7,6,6,7,7,7,4,4,3,5,18,"laptop",2,"college",1,"Portuguese",0,1
"15a5a588-84f1-47b6-8ff7-3b5dd3065df8",0,"2-1",3,NA,3,6,4,6,4,6,6,3,3,5,4,3,5,6,18,"laptop",2,"college",1,"Portuguese",0,1
"16d05f08-7a7f-4b5e-ac3f-b7a64a5ec349",1,"3-1",6,1,3,1,4,1,5,2,3,3,3,4,3,1,1,1,28,"desktop",0,"college",0,"English",0,0
"16d05f08-7a7f-4b5e-ac3f-b7a64a5ec349",0,"3-2",4,5,5,4,4,6,3,3,3,3,2,NA,4,2,2,2,28,"desktop",0,"college",0,"English",0,0
"16d93a7f-b378-4f6c-ba62-8e7479afc2d3",0,"2-1",7,1,6,5,7,1,6,6,6,6,6,6,4,4,4,5,21,"laptop",0,"college",0,"English",0,0
"16d93a7f-b378-4f6c-ba62-8e7479afc2d3",1,"2-2",7,1,5,3,6,2,7,6,6,6,6,6,4,5,3,5,21,"laptop",0,"college",0,"English",0,0
"177ecf4d-6409-4d73-8060-099d85c7a2f4",1,"1-1",4,4,3,3,1,1,4,1,2,4,4,7,1,1,1,1,27,"laptop",1,"graduate school",0,"Polish",0,1
"177ecf4d-6409-4d73-8060-099d85c7a2f4",0,"1-2",5,5,5,3,5,4,4,5,5,4,4,6,5,5,3,3,27,"laptop",1,"graduate school",0,"Polish",0,1
"17e9c042-57f7-4dbd-b484-3216d2baa9f7",0,"1-2",5,2,5,2,5,2,5,5,5,5,5,5,5,5,5,5,20,"desktop",0,"high school",1,"English",0,0
"17e9c042-57f7-4dbd-b484-3216d2baa9f7",1,"1-1",5,2,5,2,5,2,5,5,5,5,5,5,5,5,5,5,20,"desktop",0,"high school",1,"English",0,0
"1807eb20-6d3a-4efc-a8c4-8901ef1fca5f",0,"3-1",6,6,3,3,5,7,3,4,2,5,1,2,2,1,1,3,23,"laptop",0,"college",1,"English",0,0
"1807eb20-6d3a-4efc-a8c4-8901ef1fca5f",1,"3-2",7,2,6,2,6,1,7,6,6,6,6,7,4,4,4,5,23,"laptop",0,"college",1,"English",0,0
"18ff52ad-d2e9-4d03-b775-d01403f19b51",1,"3-2",6,2,5,2,6,1,6,6,6,6,6,6,3,4,2,2,19,"laptop",0,"high school",1,"English",0,0
"18ff52ad-d2e9-4d03-b775-d01403f19b51",0,"3-1",6,6,4,4,6,6,5,4,4,5,3,4,5,4,4,3,19,"laptop",0,"high school",1,"English",0,0
"1ab057fb-ac2e-4650-88bc-ede767006043",1,"2-2",4,2,2,5,4,3,5,3,4,4,5,5,2,1,1,3,16,"desktop",0,"pre-high school",1,"German",0,0
"1ab057fb-ac2e-4650-88bc-ede767006043",0,"2-1",5,5,2,5,4,6,4,2,2,4,3,4,3,2,2,3,16,"desktop",0,"pre-high school",1,"German",0,0
"1b57438e-b823-4e70-95b2-c4659c379273",0,"1-2",5,1,4,2,4,2,5,5,5,6,6,2,4,2,4,4,58,"desktop",0,"college",1,"English",0,0
"1b57438e-b823-4e70-95b2-c4659c379273",1,"1-1",5,1,4,3,4,1,6,5,5,6,6,1,4,2,4,4,58,"desktop",0,"college",1,"English",0,0
"1d254f4a-ccab-4a27-8b17-ee0f21b472b4",1,"1-1",5,1,4,2,4,4,4,3,4,4,4,4,4,3,4,4,53,"tablet",0,"professional school",1,"English",0,0
"1d254f4a-ccab-4a27-8b17-ee0f21b472b4",0,"1-2",5,4,4,2,4,2,4,5,5,5,5,5,3,2,4,4,53,"tablet",0,"professional school",1,"English",0,0
"1db1eaac-7745-4b7d-b454-c52837731af8",1,"1-2",1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,23,"laptop",0,"college",0,"Korean",0,0
"1ea0eab0-36ee-4a7f-a855-db0d0c545a87",1,"3-2",7,2,6,3,4,2,5,4,4,6,6,6,3,1,1,1,32,"tablet",0,"graduate school",1,"English",0,0
"1ea0eab0-36ee-4a7f-a855-db0d0c545a87",0,"3-1",6,6,4,2,5,6,3,5,5,5,2,6,4,2,2,4,32,"tablet",0,"graduate school",1,"English",0,0
"2022c278-e00b-4031-93bc-8d692058ffa3",0,"3-1",6,5,5,5,4,3,6,4,4,4,4,3,3,3,3,3,19,"laptop",0,"college",1,"Other",0,0
"203a6897-eaef-44f2-ac30-f8e9d95fa886",0,"3-1",6,5,3,1,4,4,3,3,3,3,3,1,2,2,4,4,58,"tablet",0,"PhD",1,"English",0,0
"203a6897-eaef-44f2-ac30-f8e9d95fa886",1,"3-2",5,2,4,1,3,2,6,5,6,7,7,4,4,4,4,4,58,"tablet",0,"PhD",1,"English",0,0
"204f52c9-ca1f-4474-a4c9-ec189e17161e",0,"2-1",3,2,2,2,3,2,3,2,4,6,6,6,3,2,6,3,37,"smartphone",0,"graduate school",1,"English",0,0
"204f52c9-ca1f-4474-a4c9-ec189e17161e",1,"2-2",7,2,6,1,7,1,7,7,7,7,7,7,2,1,1,1,37,"smartphone",0,"graduate school",1,"English",0,0
"20707557-d86f-471c-bd39-ce12b5d290c3",0,"3-1",6,2,2,5,5,7,5,5,5,5,5,5,5,3,3,3,19,"laptop",0,"college",1,"English",0,0
"20707557-d86f-471c-bd39-ce12b5d290c3",1,"3-2",7,1,7,2,6,1,6,3,6,6,6,6,1,2,2,5,19,"laptop",0,"college",1,"English",0,0
"20bc2c15-8c8b-4581-89b1-ce290be145df",0,"1-2",6,2,6,4,5,7,5,4,4,4,4,4,4,4,4,4,23,"smartphone",0,"college",1,"English",0,0
"20bc2c15-8c8b-4581-89b1-ce290be145df",1,"1-1",6,5,4,2,5,1,5,4,5,5,5,6,4,4,4,4,23,"smartphone",0,"college",1,"English",0,0
"2154a0f3-a816-47af-b00c-16d398859afa",0,"3-1",4,7,4,3,3,7,3,4,2,2,2,4,4,1,3,3,41,"smartphone",0,"professional school",1,"English",0,0
"2154a0f3-a816-47af-b00c-16d398859afa",1,"3-2",6,6,6,2,6,1,7,7,7,7,7,7,5,3,3,6,41,"smartphone",0,"professional school",1,"English",0,0
"215f1a41-46c0-40a1-85ef-c155bf665a45",1,"3-2",5,7,7,5,5,1,6,6,3,6,6,5,3,2,1,1,25,"laptop",0,"graduate school",1,"English",0,0
"215f1a41-46c0-40a1-85ef-c155bf665a45",0,"3-1",1,7,3,7,1,7,1,6,1,1,1,1,4,1,3,1,25,"laptop",0,"graduate school",1,"English",0,0
"24a6f167-5017-43b5-9dfd-891537602f94",0,"3-1",3,4,3,2,3,3,3,3,3,3,3,3,3,2,2,1,44,"smartphone",2,"college",1,"English",0,1
"24a6f167-5017-43b5-9dfd-891537602f94",1,"3-2",4,2,1,3,2,2,5,5,5,5,5,5,5,5,5,3,44,"smartphone",2,"college",1,"English",0,1
"24aa2b4b-800c-4a4a-bac9-727b1065e142",1,"1-2",5,3,2,3,6,1,6,4,4,6,6,2,2,2,2,4,25,"laptop",0,"college",1,"English",0,0
"24aa2b4b-800c-4a4a-bac9-727b1065e142",0,"1-1",6,2,3,3,5,5,5,5,5,5,5,3,3,2,2,5,25,"laptop",0,"college",1,"English",0,0
"24c1cc74-742c-4c92-860a-7a2fa7659727",0,"1-2",3,1,1,7,2,7,4,4,4,2,2,3,3,1,1,3,27,"laptop",1,"college",1,"English",0,1
"24c1cc74-742c-4c92-860a-7a2fa7659727",1,"1-1",7,2,7,7,4,1,7,6,6,7,7,7,1,1,1,7,27,"laptop",1,"college",1,"English",0,1
"253f1616-4a99-4ebf-8086-6ecb195f5fc8",1,"2-2",6,6,3,2,5,3,6,5,5,6,6,5,3,2,6,5,45,"desktop",0,"graduate school",1,"English",0,0
"253f1616-4a99-4ebf-8086-6ecb195f5fc8",0,"2-1",2,2,2,6,3,5,2,3,3,2,2,4,3,2,3,3,45,"desktop",0,"graduate school",1,"English",0,0
"254c083e-6a13-47d9-b5f3-1c28bacd58d1",1,"2-2",6,1,2,1,6,1,7,3,4,5,7,5,1,2,2,7,15,"tablet",0,"pre-high school",0,"English",0,0
"255498f6-e198-4a41-a057-5d4ddc6af950",0,"3-1",6,5,3,4,3,6,4,3,3,3,3,3,4,2,3,3,23,"laptop",0,"high school",1,"Swedish",0,0
"255498f6-e198-4a41-a057-5d4ddc6af950",1,"3-2",5,4,5,4,5,2,5,4,4,4,4,4,4,4,3,3,23,"laptop",0,"high school",1,"Swedish",0,0
"264b7cb3-a20d-4fe4-9f75-2a0dda8f6300",1,"1-1",5,5,2,5,5,1,5,2,3,2,5,5,1,1,1,1,44,"desktop",0,"graduate school",1,NA,0,0
"264b7cb3-a20d-4fe4-9f75-2a0dda8f6300",0,"1-2",5,5,2,3,3,5,5,5,5,5,5,4,2,1,1,4,44,"desktop",0,"graduate school",1,NA,0,0
"276e0af6-a9e3-4de0-8f77-6dbf7f9e3c15",0,"2-1",6,2,3,5,5,2,6,4,4,6,6,6,4,3,3,4,21,"laptop",0,NA,0,"English",0,0
"276e0af6-a9e3-4de0-8f77-6dbf7f9e3c15",1,"2-2",6,2,5,2,5,1,6,4,5,7,7,6,3,3,3,3,21,"laptop",0,NA,0,"English",0,0
"27b4821a-e017-4740-b5cc-429d50c88f5a",1,"3-2",4,1,NA,6,3,1,6,2,1,5,6,6,1,1,1,3,14,"laptop",0,"high school",1,"English",1,0
"27b4821a-e017-4740-b5cc-429d50c88f5a",0,"3-1",3,1,5,1,3,7,3,1,1,1,1,1,1,2,1,1,14,"laptop",0,"high school",1,"English",1,0
"27d0e742-13f8-4911-a1d6-42cbea5067e2",0,"2-2",5,2,3,2,5,2,6,5,5,5,5,6,3,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA
"27d0e742-13f8-4911-a1d6-42cbea5067e2",1,"2-1",3,2,2,6,4,1,5,2,2,4,5,5,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"281cb9a3-6182-4043-8271-b24ea0d34680",1,"1-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"desktop",0,"college",0,"English",0,0
"28836691-af28-443e-9b0f-aa6a75dd4f43",1,"3-2",6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28836691-af28-443e-9b0f-aa6a75dd4f43",0,"3-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28c7542a-c3f8-419b-80a0-8f4c706e2c61",0,"1-1",7,1,7,1,7,7,7,4,4,7,7,4,1,1,1,7,19,"tablet",0,"high school",1,"English",0,0
"28c7542a-c3f8-419b-80a0-8f4c706e2c61",1,"1-2",7,1,7,1,7,1,7,7,7,7,7,7,1,1,1,7,19,"tablet",0,"high school",1,"English",0,0
"295fe5fe-cf5a-4c14-a7db-ab1d21f1348b",0,"2-1",6,3,4,3,5,3,5,4,4,5,4,4,2,2,4,4,39,NA,NA,NA,1,"English",0,NA
"295fe5fe-cf5a-4c14-a7db-ab1d21f1348b",1,"2-2",6,3,4,2,5,3,5,5,5,5,6,4,5,3,4,5,39,NA,NA,NA,1,"English",0,NA
"2969f3fa-0544-46ff-b5ad-5f14fa846a7f",1,"3-1",6,5,5,5,4,5,5,3,4,3,5,4,3,3,NA,3,58,"tablet",2,"professional school",1,"English",0,1
"2969f3fa-0544-46ff-b5ad-5f14fa846a7f",0,"3-2",4,6,4,5,5,6,3,3,3,4,3,3,3,3,3,3,58,"tablet",2,"professional school",1,"English",0,1
"2a29612d-37ba-41fa-b45f-004677aa5908",0,"2-1",6,5,1,1,3,1,7,5,4,3,4,4,3,1,3,5,28,"laptop",0,"graduate school",1,"English",0,0
